element_id,element_type,timestamp,version,changeset,user,railway_type,name,operator,gauge,electrified,maxspeed,usage,service,tracks,frequency,voltage,bridge,tunnel,cutting,embankment,layer,country,state,city,description,wikipedia,wikidata,geometry,lat,lon,all_tags
196489676,way,2025-02-07T12:54:26Z,17,162244450,Ryzander Zenophite,rail,Central Railway (Harbour Line),IR,1676.0,contact_line,,main,,,50.0,25000.0,,,,,,,,,,,,"[{'lat': 19.1142308, 'lon': 72.8458097}, {'lat': 19.1137994, 'lon': 72.8457775}, {'lat': 19.1130896, 'lon': 72.8457067}, {'lat': 19.1105675, 'lon': 72.8453834}, {'lat': 19.1103592, 'lon': 72.8453567}, {'lat': 19.1082689, 'lon': 72.8451049}, {'lat': 19.1062323, 'lon': 72.8448494}, {'lat': 19.1026967, 'lon': 72.8443541}, {'lat': 19.1022381, 'lon': 72.8442939}, {'lat': 19.1012548, 'lon': 72.8440909}, {'lat': 19.1006662, 'lon': 72.8439806}, {'lat': 19.1000071, 'lon': 72.8438937}, {'lat': 19.0989743, 'lon': 72.8437865}, {'lat': 19.0987381, 'lon': 72.8437721}, {'lat': 19.0977512, 'lon': 72.8437016}, {'lat': 19.097349, 'lon': 72.8436484}, {'lat': 19.0905248, 'lon': 72.8427273}, {'lat': 19.0862323, 'lon': 72.8421475}, {'lat': 19.0856074, 'lon': 72.8420631}, {'lat': 19.085223, 'lon': 72.8420391}, {'lat': 19.0839117, 'lon': 72.8418774}, {'lat': 19.0832136, 'lon': 72.8417484}, {'lat': 19.0827158, 'lon': 72.8416756}, {'lat': 19.0813579, 'lon': 72.8414389}, {'lat': 19.0810307, 'lon': 72.841401}, {'lat': 19.080416, 'lon': 72.8413508}, {'lat': 19.079675, 'lon': 72.8412984}, {'lat': 19.0752579, 'lon': 72.8407215}, {'lat': 19.0745613, 'lon': 72.8406299}, {'lat': 19.0720141, 'lon': 72.840281}, {'lat': 19.0715955, 'lon': 72.84024}, {'lat': 19.0713277, 'lon': 72.8402253}, {'lat': 19.0709778, 'lon': 72.8402212}, {'lat': 19.070757, 'lon': 72.8402213}, {'lat': 19.0705999, 'lon': 72.8402134}, {'lat': 19.0703696, 'lon': 72.8401833}, {'lat': 19.0700814, 'lon': 72.8401552}, {'lat': 19.0695931, 'lon': 72.8400888}, {'lat': 19.069074, 'lon': 72.8400142}, {'lat': 19.068167, 'lon': 72.8398839}, {'lat': 19.0680629, 'lon': 72.83987}, {'lat': 19.0680367, 'lon': 72.839867}]",,,"{'electrified': 'contact_line', 'frequency': '50', 'gauge': '1676', 'name': 'Central Railway (Harbour Line)', 'network': 'CR', 'operator': 'IR', 'railway': 'rail', 'railway:preferred_direction': 'forward', 'railway:traffic_mode': 'passenger', 'source': 'Bing', 'usage': 'main', 'voltage': '25000'}"
327967081,way,2020-05-23T19:42:30Z,5,85663919,flierfy,rail,,,1676.0,contact_line,,,yard,,50.0,25000.0,,,,,,,,,,,,"[{'lat': 19.1111079, 'lon': 72.8456029}, {'lat': 19.1148928, 'lon': 72.84611}, {'lat': 19.1152584, 'lon': 72.8461603}]",,,"{'electrified': 'contact_line', 'gauge': '1676', 'railway': 'rail', 'service': 'yard'}"
327967082,way,2020-05-23T19:42:30Z,3,85663919,flierfy,rail,,,1676.0,contact_line,,,yard,,50.0,25000.0,,,,,,,,,,,,"[{'lat': 19.111075, 'lon': 72.8455514}, {'lat': 19.114899, 'lon': 72.8460676}, {'lat': 19.1152584, 'lon': 72.8461603}, {'lat': 19.115718, 'lon': 72.8462602}]",,,"{'electrified': 'contact_line', 'gauge': '1676', 'railway': 'rail', 'service': 'yard'}"
659356162,way,2020-05-23T21:42:37Z,4,85666715,flierfy,rail,,,1676.0,,,,yard,,50.0,25000.0,,,,,,,,,,,,"[{'lat': 19.111489, 'lon': 72.8456911}, {'lat': 19.1121368, 'lon': 72.845781}, {'lat': 19.113956, 'lon': 72.8460241}, {'lat': 19.1148954, 'lon': 72.8461481}, {'lat': 19.115718, 'lon': 72.8462602}, {'lat': 19.1160205, 'lon': 72.8463037}, {'lat': 19.1164629, 'lon': 72.8463609}, {'lat': 19.1167904, 'lon': 72.8464082}, {'lat': 19.117158, 'lon': 72.8464617}, {'lat': 19.1177136, 'lon': 72.846575}]",,,"{'gauge': '1676', 'railway': 'rail', 'service': 'yard'}"
659356163,way,2020-05-23T21:42:37Z,5,85666715,flierfy,rail,,,1676.0,,,,yard,,50.0,25000.0,,,,,,,,,,,,"[{'lat': 19.1175639, 'lon': 72.8464233}, {'lat': 19.1167904, 'lon': 72.8464082}, {'lat': 19.1164316, 'lon': 72.8464085}]",,,"{'gauge': '1676', 'railway': 'rail', 'service': 'yard'}"
659356164,way,2020-05-23T21:42:37Z,5,85666715,flierfy,rail,,,1676.0,,,,yard,,50.0,25000.0,,,,,,,,,,,,"[{'lat': 19.1174711, 'lon': 72.8463547}, {'lat': 19.1170185, 'lon': 72.8463471}, {'lat': 19.1164629, 'lon': 72.8463609}, {'lat': 19.1161005, 'lon': 72.8463694}]",,,"{'gauge': '1676', 'railway': 'rail', 'service': 'yard'}"
802980123,way,2020-05-12T13:56:56Z,1,85090873,flierfy,rail,,,1676.0,contact_line,,,yard,,50.0,25000.0,,,,,,,,,,,,"[{'lat': 19.1160205, 'lon': 72.8463037}, {'lat': 19.1164508, 'lon': 72.8463212}]",,,"{'electrified': 'contact_line', 'frequency': '50', 'gauge': '1676', 'railway': 'rail', 'railway:traffic_mode': 'passenger', 'service': 'yard', 'voltage': '25000'}"
809927341,way,2020-05-30T11:09:29Z,1,85978554,flierfy,rail,,,1676.0,contact_line,,,crossover,,50.0,25000.0,,,,,,,,,,,,"[{'lat': 19.1213353, 'lon': 72.8470718}, {'lat': 19.120816, 'lon': 72.8470533}]",,,"{'electrified': 'contact_line', 'frequency': '50', 'gauge': '1676', 'railway': 'rail', 'service': 'crossover', 'voltage': '25000'}"
990992624,way,2023-05-08T14:21:04Z,2,135855552,PlaneMad,rail,Western Railway (Slow),,1676.0,contact_line,,main,,,50.0,25000.0,,,,,,,,,,,,"[{'lat': 19.1192956, 'lon': 72.8467967}, {'lat': 19.1185512, 'lon': 72.846699}, {'lat': 19.1177136, 'lon': 72.846575}, {'lat': 19.1168454, 'lon': 72.846459}, {'lat': 19.1164316, 'lon': 72.8464085}, {'lat': 19.1161005, 'lon': 72.8463694}, {'lat': 19.11562, 'lon': 72.8463107}, {'lat': 19.1149872, 'lon': 72.8462179}, {'lat': 19.113818, 'lon': 72.846075}, {'lat': 19.1130303, 'lon': 72.845964}, {'lat': 19.1116064, 'lon': 72.8457609}, {'lat': 19.1104166, 'lon': 72.8455155}, {'lat': 19.1082614, 'lon': 72.8452131}, {'lat': 19.1062071, 'lon': 72.8449509}, {'lat': 19.102867, 'lon': 72.8445024}, {'lat': 19.1023249, 'lon': 72.8444171}, {'lat': 19.1018376, 'lon': 72.8443368}, {'lat': 19.0999796, 'lon': 72.8440865}, {'lat': 19.0975386, 'lon': 72.8437576}, {'lat': 19.0905097, 'lon': 72.8428352}, {'lat': 19.0879045, 'lon': 72.8424781}, {'lat': 19.0873199, 'lon': 72.8423963}, {'lat': 19.0861751, 'lon': 72.8422478}, {'lat': 19.0832153, 'lon': 72.841854}, {'lat': 19.0826992, 'lon': 72.8418241}, {'lat': 19.0816295, 'lon': 72.8416835}]",,,"{'date:electrification:changeAC': '2012-02-06', 'date:electrified': '1928-01-05', 'date:quadrupled': '1926-01-26', 'electrified': 'contact_line', 'frequency': '50', 'gauge': '1676', 'historic:frequency': '0', 'historic:voltage': '1500', 'name': 'Western Railway (Slow)', 'passenger_lines': '4', 'railway': 'rail', 'railway:preferred_direction': 'forward', 'railway:traffic_mode': 'passenger', 'start_date': '1864-11-28', 'usage': 'main', 'voltage': '25000'}"
990992628,way,2021-10-07T21:33:07Z,1,112236218,sfrank,rail,Western Railway (Slow),,1676.0,contact_line,,main,,,50.0,25000.0,,,,,,,,,,,,"[{'lat': 19.1241221, 'lon': 72.8472852}, {'lat': 19.1236619, 'lon': 72.8472291}, {'lat': 19.122534, 'lon': 72.84715}, {'lat': 19.1222846, 'lon': 72.8471239}, {'lat': 19.1218156, 'lon': 72.847111}, {'lat': 19.1213353, 'lon': 72.8470718}, {'lat': 19.1192956, 'lon': 72.8467967}]",,,"{'date:quadrupled': '1926-03-05', 'electrified': 'contact_line', 'frequency': '50', 'gauge': '1676', 'name': 'Western Railway (Slow)', 'passenger_lines': '4', 'railway': 'rail', 'railway:preferred_direction': 'forward', 'railway:traffic_mode': 'passenger', 'start_date': '1864-11-28', 'usage': 'main', 'voltage': '25000'}"
151832201,way,2020-05-23T19:42:30Z,6,85663919,flierfy,rail,,,1676.0,contact_line,,,crossover,,50.0,25000.0,,,,,,,,,,,,"[{'lat': 19.1146072, 'lon': 72.8458641}, {'lat': 19.1158611, 'lon': 72.8461457}]",,,"{'electrified': 'contact_line', 'frequency': '50', 'gauge': '1676', 'railway': 'rail', 'railway:traffic_mode': 'passenger', 'service': 'crossover', 'voltage': '25000'}"
151832204,way,2023-05-08T14:21:04Z,26,135855552,PlaneMad,rail,Western Railway (Slow),,1676.0,contact_line,,main,,,50.0,25000.0,,,,,,,,,,,,"[{'lat': 19.0816184, 'lon': 72.8415282}, {'lat': 19.0827126, 'lon': 72.8417051}, {'lat': 19.083237, 'lon': 72.8417926}, {'lat': 19.0839046, 'lon': 72.8419116}, {'lat': 19.0855534, 'lon': 72.8421134}, {'lat': 19.0858046, 'lon': 72.8421432}, {'lat': 19.0866362, 'lon': 72.8422567}, {'lat': 19.0905165, 'lon': 72.8427861}, {'lat': 19.0934841, 'lon': 72.8431693}, {'lat': 19.0974155, 'lon': 72.8437037}, {'lat': 19.0977416, 'lon': 72.8437426}, {'lat': 19.0986749, 'lon': 72.8438103}, {'lat': 19.0989925, 'lon': 72.8438267}, {'lat': 19.1000028, 'lon': 72.8439266}, {'lat': 19.1006149, 'lon': 72.8440252}, {'lat': 19.1012429, 'lon': 72.8441392}, {'lat': 19.1023344, 'lon': 72.8443814}, {'lat': 19.1028734, 'lon': 72.8444595}, {'lat': 19.1062184, 'lon': 72.8449057}, {'lat': 19.1082651, 'lon': 72.845159}, {'lat': 19.1100942, 'lon': 72.8453735}, {'lat': 19.1103703, 'lon': 72.8454108}, {'lat': 19.1130741, 'lon': 72.845774}, {'lat': 19.113894, 'lon': 72.8458768}, {'lat': 19.1158611, 'lon': 72.8461457}, {'lat': 19.1161152, 'lon': 72.8461815}, {'lat': 19.1174711, 'lon': 72.8463547}, {'lat': 19.1193246, 'lon': 72.8465965}]",,,"{'date:electrification:changeAC': '2012-02-06', 'date:electrified': '1928-01-05', 'date:quadrupled': '1926-01-26', 'electrified': 'contact_line', 'frequency': '50', 'gauge': '1676', 'historic:frequency': '0', 'historic:voltage': '1500', 'name': 'Western Railway (Slow)', 'passenger_lines': '4', 'railway': 'rail', 'railway:preferred_direction': 'forward', 'railway:traffic_mode': 'passenger', 'source': 'Bing', 'start_date': '1864-11-28', 'usage': 'main', 'voltage': '25000'}"
327967079,way,2021-10-07T22:19:46Z,8,112237350,sfrank,rail,,,1676.0,contact_line,,,siding,,50.0,25000.0,,,,,,,,,,,,"[{'lat': 19.1161152, 'lon': 72.8461815}, {'lat': 19.1166631, 'lon': 72.8462953}, {'lat': 19.1170185, 'lon': 72.8463471}, {'lat': 19.1173635, 'lon': 72.8463953}, {'lat': 19.1175639, 'lon': 72.8464233}, {'lat': 19.1185684, 'lon': 72.8465635}, {'lat': 19.1193178, 'lon': 72.8466577}, {'lat': 19.1208323, 'lon': 72.8468606}, {'lat': 19.1213593, 'lon': 72.8469216}, {'lat': 19.1216265, 'lon': 72.8469685}, {'lat': 19.1219856, 'lon': 72.8470708}, {'lat': 19.1222846, 'lon': 72.8471239}]",,,"{'electrified': 'contact_line', 'frequency': '50', 'gauge': '1676', 'railway': 'rail', 'railway:traffic_mode': 'passenger', 'service': 'siding', 'start_date': '1864-11-28', 'voltage': '25000'}"
802938076,way,2020-05-12T11:44:20Z,1,85084577,nandinab,,,,1676.0,,,,,,50.0,25000.0,,,,,,,,,,,,"[{'lat': 42.5885229, 'lon': -79.0410104}, {'lat': 42.5883452, 'lon': -79.0409937}, {'lat': 42.5882283, 'lon': -79.0410375}, {'lat': 42.5881544, 'lon': -79.0411086}, {'lat': 42.5880528, 'lon': -79.0412507}, {'lat': 42.5879851, 'lon': -79.0413218}, {'lat': 42.587899, 'lon': -79.0413949}, {'lat': 42.5876266, 'lon': -79.0415956}]",,,{'highway': 'service'}
